storeId,storeName,dateCreated,itemsTotal,shipping,dutyTaxes,grandTotal,country
9,Darth Vader,2020-11-01 0:04:34,127.43,0,47.53,174.96,CA
9,Darth Vader,2020-11-01 0:07:31,59.66,0,23.63,83.29,GB
3,Obi-Wan Kenobi,2020-11-01 0:11:42,249.5,93.53,0,343.03,CL
9,Darth Vader,2020-11-01 0:12:37,42.26,6.99,7.84,57.09,DE
9,Darth Vader,2020-11-01 0:21:25,90,0,21.19,111.19,IE
9,Darth Vader,2020-11-01 0:25:38,135,0,43.35,178.35,CA
9,Darth Vader,2020-11-01 0:32:01,85.73,0,10.01,95.74,CA
9,Darth Vader,2020-11-01 0:39:53,42.21,6.99,4.54,53.74,CA
5,Princess Leia,2020-11-01 0:40:18,13.6,6.99,0,20.59,AU
9,Darth Vader,2020-11-01 0:41:56,81.97,0,14.71,96.68,FR
10,C-3PO,2020-11-01 0:48:47,91.2,17,0,108.2,CA
2,Chewbacca,2020-11-01 0:49:27,1008.98,43.06,160.22,1212.26,CA
9,Darth Vader,2020-11-01 0:54:24,41.41,6.99,5.36,53.76,CA
9,Darth Vader,2020-11-01 0:59:36,58.65,0,6.32,64.97,CA
2,Chewbacca,2020-11-01 0:59:43,61.74,12.25,0,73.99,CA
9,Darth Vader,2020-11-01 1:01:13,168.96,0,53.97,222.93,CA
5,Princess Leia,2020-11-01 1:04:29,91,9.99,0,100.99,AU
9,Darth Vader,2020-11-01 1:09:11,138.11,0,50.62,188.73,CA
9,Darth Vader,2020-11-01 1:09:15,156,14.95,0,170.95,US
9,Darth Vader,2020-11-01 1:10:52,48.16,0,7.03,55.19,CA
2,Chewbacca,2020-11-01 1:13:47,775.47,54.24,146.12,975.83,CA
5,Princess Leia,2020-11-01 1:24:03,23.8,5.99,6.8,36.59,GB
10,C-3PO,2020-11-01 1:24:05,750.05,79.59,170.36,1000,AU
10,C-3PO,2020-11-01 1:33:34,193,19.1,28.9,241,CA
6,R2-D2,2020-11-01 1:37:39,183.15,32.15,54.96,270.26,CA
5,Princess Leia,2020-11-01 1:48:31,40,6.99,5.2,52.19,CA
9,Darth Vader,2020-11-01 1:54:43,123,14.95,0,137.95,PE
2,Chewbacca,2020-11-01 2:01:35,61.74,12.25,0,73.99,CA
9,Darth Vader,2020-11-01 2:02:43,29.98,6.99,6.16,43.13,DE
4,Wilhuff Tarkin,2020-11-01 2:13:47,83.3,31.95,11.76,127.01,CA
9,Darth Vader,2020-11-01 2:17:46,200,14.95,0,214.95,UM
5,Princess Leia,2020-11-01 2:22:02,93.5,6.99,0,100.49,AU
9,Darth Vader,2020-11-01 2:25:14,121.23,0,42.56,163.79,CA
5,Princess Leia,2020-11-01 2:30:49,84,6.99,0,90.99,AU
3,Obi-Wan Kenobi,2020-11-01 2:36:59,39.3,50.25,0,89.55,NZ
9,Darth Vader,2020-11-01 2:37:10,85.29,0,11.06,96.35,CA
9,Darth Vader,2020-11-01 2:40:48,200.6,14.95,0,215.55,MX
5,Princess Leia,2020-11-01 2:48:40,28,6.99,0,34.99,AU
9,Darth Vader,2020-11-01 2:49:20,162,10,20.23,192.23,JP
9,Darth Vader,2020-11-01 2:58:52,197.31,0,42.32,239.63,CA
9,Darth Vader,2020-11-01 2:59:26,413.99,0,123.68,537.67,CA
9,Darth Vader,2020-11-01 3:03:50,33.21,6.99,4.46,44.66,CA
9,Darth Vader,2020-11-01 3:08:10,52.95,0,6.77,59.72,CA
5,Princess Leia,2020-11-01 3:09:28,103.6,7.99,14.43,126.02,CA
5,Princess Leia,2020-11-01 3:13:56,79.9,7.99,0,87.89,FR
9,Darth Vader,2020-11-01 3:15:17,173.16,0,57.45,230.61,CA
9,Darth Vader,2020-11-01 3:25:55,46.94,0,6.32,53.26,CA
